кофе,зернах,1
кофе,жертва,0
кофе,зарабатывать,0
кофе,растворимый,1
кофе,распространенный,0
кофе,повышение,0
кофе,чая,1
кофе,палатка,0
кофе,объявить,0
кофе,mellanrost,1
кофе,счастье,0
кофе,штат,0
кофе,сублемированный,1
кофе,событие,0
кофе,внимательный,0
кофе,молотый,1
кофе,здание,0
кофе,субъект,0
кофе,кофейные,1
кофе,капитал,0
кофе,тон,0
кофе,декофеинизированный,1
кофе,сумка,0
кофе,дядя,0
кофе,капучино,1
кофе,коллега,0
кофе,километр,0
кофе,monoarabica,1
кофе,оборудование,0
кофе,hello,0
кофе,свежесваренный,1
кофе,рыба,0
кофе,танк,0
кофе,гевалия,1
кофе,локомотив,0
кофе,сиять,0
кофе,расстворимый,1
кофе,черта,0
кофе,испугаться,0
кофе,etiopia,1
кофе,трезвый,0
кофе,колодец,0
кофе,электротурке,1
кофе,солнце,0
кофе,препятствие,0